grid_id,target,model,val_accuracy,val_f1_macro,val_f1_weighted,test_accuracy,test_f1_macro,test_f1_weighted,train_time_s,train_rows_resampled,val_rows,test_rows
Grid_149,temp_qc,ExtraTrees,0.969,0.5042,0.9802,0.9608,0.245,0.9796,148.18,1225932,54394,171021
Grid_149,temp_qc,XGBoost,0.9928,0.6326,0.9945,0.963,0.2453,0.9807,159.76,1225932,54394,171021
Grid_149,temp_qc,CatBoost,0.958,0.342,0.9745,0.947,0.2432,0.9724,588.85,1225932,54394,171021
Grid_149,temp_qc,LightGBM,0.9924,0.553,0.9946,0.9553,0.2443,0.9767,109.13,1225932,54394,171021
Grid_149,temp_qc,LogisticRegression,0.7101,0.237,0.8253,0.75,0.2145,0.8568,1392.39,1225932,54394,171021
Grid_149,psal_qc,RandomForest,0.9882,0.6478,0.9912,0.8936,0.236,0.866,322.58,919890,54394,171021
Grid_149,psal_qc,ExtraTrees,0.9749,0.589,0.9835,0.8835,0.2345,0.8608,88.25,919890,54394,171021
Grid_149,psal_qc,XGBoost,0.9979,0.8023,0.9981,0.8811,0.2342,0.8595,87.63,919890,54394,171021
Grid_149,psal_qc,CatBoost,0.9869,0.5041,0.9906,0.8756,0.2334,0.8567,334.24,919890,54394,171021
Grid_149,psal_qc,LightGBM,0.9983,0.7539,0.9984,0.879,0.2339,0.8585,48.02,919890,54394,171021
Grid_149,psal_qc,LogisticRegression,0.8485,0.3424,0.9131,0.7611,0.2161,0.7931,861.57,919890,54394,171021
Grid_150,temp_qc,RandomForest,0.9887,0.6035,0.9902,0.9188,0.2394,0.9575,482.96,1075491,64088,252931
Grid_150,temp_qc,ExtraTrees,0.9782,0.5302,0.983,0.9051,0.2375,0.95,146.84,1075491,64088,252931
Grid_150,temp_qc,XGBoost,0.9904,0.6248,0.9918,0.8655,0.232,0.9277,129.3,1075491,64088,252931
Grid_150,temp_qc,CatBoost,0.9653,0.5028,0.9758,0.8224,0.2256,0.9023,395.08,1075491,64088,252931
Grid_150,temp_qc,LightGBM,0.9849,0.5827,0.9878,0.8499,0.2297,0.9187,59.97,1075491,64088,252931
Grid_150,temp_qc,LogisticRegression,0.6284,0.2859,0.7609,0.5911,0.1858,0.7429,1973.44,1075491,64088,252931
Grid_150,psal_qc,RandomForest,0.9872,0.6547,0.9891,0.851,0.2364,0.8698,468.8,1075098,64088,252931
Grid_150,psal_qc,ExtraTrees,0.9794,0.5754,0.9836,0.8465,0.234,0.8673,135.42,1075098,64088,252931
Grid_150,psal_qc,XGBoost,0.9907,0.7236,0.9919,0.8005,0.2284,0.8411,110.17,1075098,64088,252931
Grid_150,psal_qc,CatBoost,0.9717,0.5264,0.9789,0.778,0.2245,0.8277,393.06,1075098,64088,252931
Grid_150,psal_qc,LightGBM,0.9851,0.7435,0.9877,0.7997,0.2286,0.8405,58.34,1075098,64088,252931
Grid_150,psal_qc,LogisticRegression,0.6639,0.2932,0.7866,0.6379,0.3048,0.7488,9920.96,1075098,64088,252931
Grid_29,temp_qc,RandomForest,0.9965,0.7506,0.9968,0.9965,0.3374,0.998,1102.52,2560893,158961,1219452
Grid_29,temp_qc,ExtraTrees,0.9933,0.7241,0.9944,0.9946,0.3334,0.997,381.72,2560893,158961,1219452
Grid_29,temp_qc,XGBoost,0.9944,0.737,0.9951,0.9935,0.3322,0.9964,281.05,2560893,158961,1219452
Grid_29,temp_qc,CatBoost,0.9859,0.6754,0.9887,0.9893,0.3315,0.9944,960.04,2560893,158961,1219452
Grid_29,temp_qc,LightGBM,0.9915,0.7082,0.9929,0.9917,0.3319,0.9955,151.46,2560893,158961,1219452
Grid_29,temp_qc,LogisticRegression,0.9317,0.5248,0.9481,0.9612,0.3269,0.98,3210.54,2560893,158961,1219452
Grid_29,psal_qc,RandomForest,0.9632,0.7937,0.9694,0.9241,0.2413,0.9602,2042.51,3305964,158961,1219452
Grid_29,psal_qc,ExtraTrees,0.9237,0.6853,0.9427,0.8666,0.2327,0.9282,567.87,3305964,158961,1219452
Grid_29,psal_qc,XGBoost,0.9329,0.7126,0.9472,0.8768,0.2343,0.9341,461.57,3305964,158961,1219452
Grid_29,psal_qc,CatBoost,0.8898,0.6068,0.9165,0.8132,0.2249,0.8967,1451.76,3305964,158961,1219452
Grid_29,psal_qc,LightGBM,0.9208,0.6767,0.9372,0.8817,0.2349,0.9368,269.07,3305964,158961,1219452
Grid_29,psal_qc,LogisticRegression,0.6554,0.4139,0.7652,0.6133,0.1905,0.7601,6076.92,3305964,158961,1219452
Grid_30,temp_qc,RandomForest,0.9996,0.4141,0.9997,0.9996,0.4999,0.9995,741.07,1235787,72708,200887
Grid_30,temp_qc,ExtraTrees,0.9983,0.3747,0.999,0.9994,0.4998,0.9993,168.41,1235787,72708,200887
Grid_30,temp_qc,XGBoost,0.9997,0.4509,0.9997,0.9994,0.4998,0.9993,213.42,1235787,72708,200887
Grid_30,temp_qc,CatBoost,0.9971,0.359,0.9984,0.9989,0.3396,0.9991,604.18,1235787,72708,200887
Grid_30,temp_qc,LightGBM,0.9997,0.4666,0.9997,0.9994,0.4998,0.9993,103.94,1235787,72708,200887
